,Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
54,K2-2016-BLG-0005L b,1.16 ±0.09,1.23,4700 +3000−700,4.11 ±0.32,,microlensing,16960,0.574 ±0.037,,Gas giant.[44][45]
55,Kepler-10 d,0.03990±0.00705,,151.04±0.45,0.5379±0.0044,,radial vel.,605.039+2.645−2.626,0.910±0.021,5708±28,[41]
56,Kepler-68 e,0.272 ±0.032,,3455 +348−169,4.60 +0.32−0.16,,radial vel.,,1.057 +0.022−0.020,5847±75,[46]
57,Kepler-58 d,,0.1509503920,4.458169937,,,transit,,1.017 +0.167−0.125,6100+193−214,[47]
58,Kepler-164 e,,0.3570351276,94.8864975,,,transit,,0.966 +0.075−0.068,5888 +106−117,[47]
59,Kepler-290 d,,0.0794273806,0.764007986,,,transit,,0.84 +0.065−0.09,5142±153,[47]
60,Kepler-297 d,,0.6351157298,150.0209961,,,transit,,0.846 +0.059−0.049,5618±112,[47]
61,Kepler-311 d,,0.1849409870,232.0469971,,,transit,,0.974 +0.082−0.062,5903 +106−117,[47]
62,Kepler-347 d,,0.2346332985,85.51660156,,,transit,,1±0.072,5592±75,[47]
63,Kepler-416 d,,0.1543405297,3.076410055,,,transit,,0.949 +0.067−0.055,5670±114,[47]
64,Kepler-549 d,,0.4055676538,24.6147995,,,transit,,0.859 +0.06−0.033,5312±79,[47]
65,Kepler-618 d,,0.3911149410,11.67889977,,,transit,,1.041±0.139,6122 +169−190,[47]
66,Kepler-656 c,,0.1360516194,5.254559994,,,transit,,1.05+0.075−0.113,5550 +166−183,[47]
67,Kepler-763 c,,0.1464004690,4.096680164,,,transit,,0.8 +0.048−0.028,4999±79,[47]
68,Kepler-763 d,,0.1754842890,6.503270149,,,transit,,0.8 +0.048−0.028,4999±79,[47]
69,Kepler-784 c,,0.1583551639,17.15699959,,,transit,,1.016 +0.093−0.084,5676 +115−104,[47]
70,Kepler-864 c,,0.157641449,2.421489954,,,transit,,1.27 +0.142−0.156,6213 +173−259,[47]
71,Kepler-865 c,,0.09474546031,6.209179878,,,transit,,0.782 +0.116−0.062,5440±162,[47]
72,Kepler-880 c,,0.2816491659,11.80609989,,,transit,,1.714 +0.17−0.316,6900 +184−204,[47]
73,Kepler-896 c,,0.2770100246,29.54210091,,,transit,,0.877 +0.083−0.092,5510 +166−149,[47]
74,Kepler-949 c,,0.4607912263,20.99720001,,,transit,,0.813 +0.104−0.064,5211 +181−163,[47]
75,Kepler-975 c,,0.5035248257,5.05821991,,,transit,,0.951 +0.198−0.144,4883 +146−132,[47]
76,Kepler-1052 c,,0.2112591764,180.9259949,,,transit,,0.937 +0.09−0.121,5818 +139−157,[47]
77,Kepler-1126 c,,0.1500582511,199.6679993,,,transit,,0.794 +0.071−0.03,5678 +113−102,[47]
78,Kepler-1162 c,,0.1675442283,59.28409958,,,transit,,0.861 +0.05−0.041,5225 +83−73,[47]
79,Kepler-1181 c,,0.1555895228,8.934909821,,,transit,,1.336 ±0.2,6688 +187−281,[47]
80,Kepler-1471 c,,0.2001966118,11.60449982,,,transit,,0.934 +0.063−0.045,5533 +83−74,[47]
81,Kepler-1487 c,,0.7992697886,35.79949951,,,transit,,1.801 +0.193−0.359,5745 +86−77,[47]
82,Kepler-1491 c,,0.2788835142,61.5685997,,,transit,,0.991 +0.079−0.065,5626±77,[47]
83,Kepler-1513 c,0.266 +0.098−0.063,,841.4+8.1−5.3,,,transit,,0.943±0.037,5491±100,[48]
84,Kepler-1518 c,,0.212775814,9.630929947,,,transit,,1.06 +0.177−0.133,6432+155−214,[47]
85,Kepler-1610 c,,0.196806485,44.98529816,,,transit,,0.825 +0.096−0.078,5295±185,[47]
86,Kepler-1669 d,,0.1427426870,4.729469776,,,transit,,0.609 ±0.033,4224±84,[47]
87,Kepler-1801 c,,0.3621203501,116.5849991,,,transit,,0.936 +0.114−0.093,5738 +156−173,[47]
88,Kepler-1814 c,,0.1476494621,0.626281977,,,transit,,0.79 +0.073−0.064,4922±169,[47]
89,Kepler-1834 c,,0.129895841,0.766691983,,,transit,,0.765 +0.051−0.028,4821±76,[47]
90,Kepler-1859 c,,0.1531807444,3.596430063,,,transit,,1.09 +0.07−0.078,5887 +70−79,[47]
91,Kepler-1894 c,,0.1417613278,5.053750038,,,transit,,0.999 +0.114−0.125,5772 +156−173,[47]
92,Kepler-1921 c,,0.1505043216,3.157219887,,,transit,,1.251 +0.19−0.233,6120 +195−217,[47]
93,Kepler-1976 b,,1.043,4.96,,,transit,,1.097 +0.21−0.135,6117 +156−210,[49]
94,Kepler-1977 b,,0.1625482348,4.537000179,,,transit,,0.769 +0.053−0.079,4805 ±144,[47]
95,Kepler-1978 b,,0.2683562384,10.849699997,,,transit,,0.869 +0.06−0.095,5251±158,[47]
96,Kepler-1980 b,,0.2538143392,33.0257988,,,transit,,1.049 +0.059−0.073,5819 +69−87,[47]
97,Kepler-1981 b,,0.8396838173,453.5429993,,,transit,,1.519 +0.15−0.376,5874 +87−79,[47]
98,Kepler-1982 b,,0.773130047,3.823159933,,,transit,,1.213 +0.076−0.093,6202 +99−149,[47]
99,Kepler-1983 b,,0.1465788952,7.328519821,,,transit,,0.812 +0.058−0.029,5135 +84−75,[47]
100,Kepler-1984 b,,0.718709408,1.99285996,,,transit,,0.42 +0.046−0.056,3638 +72−87,[47]
101,Kepler-1985 b,,0.1981446855,3.420650005,,,transit,,0.877 +0.064−0.037,3638 +72−87,[47]
102,Kepler-1986 b,,0.2631818295,19.54929924,,,transit,,0.776 +0.089−0.065,5549±163,[47]
103,Kepler-1987 b,,0.134713408,2.345860004,,,transit,,0.799 +0.041−0.081,4769±172,[47]
104,Kepler-1987 c,,0.151307244,3.648269892,,,transit,,0.799 +0.041−0.081,4769±172,[47]
105,Kepler-1987 d,,0.2912843007,5.644889832,,,transit,,0.799 +0.041−0.081,4769±172,[47]
106,Kepler-1987 e,,0.2188423849,8.742970467,,,transit,,0.799 +0.041−0.081,4769±172,[47]
107,Kepler-1988 b,,0.1382819717,1.549999952,,,transit,,1.127 +0.189−0.172,6033±183,[47]
108,Kepler-1989 b,,0.4247487156,10.16100025,,,transit,,0.999 +0.153−0.126,6032 +189−232,[47]
109,Kepler-1990 b,,0.3491842959,1.735129952,,,transit,,1.028 +0.074−0.067,5751 +103−114,[47]
110,Kepler-1990 c,,0.1058972326,1.187000036,,,transit,,1.028 +0.074−0.067,5751 +103−114,[47]
111,Kepler-1991 b,,0.1646893688,13.26080036,,,transit,,0.914 +0.061−0.042,5478 +82−74,[47]
112,Kepler-1991 c,,0.2594348291,22.79019928,,,transit,,0.914 +0.061−0.042,5478 +82−74,[47]
113,Kepler-1992 b,,0.0916229564,15.61120033,,,transit,,0.874 +0.048−0.054,5383±107,[47]
