,Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
204,TOI-1736 c,8.70+1.50−0.60,,570.1±0.7,1.381±0.017,249±9,radial vel.,290.111+1.050−1.043,1.08±0.04,5807±46,[102]
205,TOI-1801 b,0.0158,0.187+0.005−0.006,10.643976+0.000014−0.000014,,490.47,transit,100.8,0.5413±0.0204,3815±157,[71]
206,TOI-1811 b,0.9720+0.0760−0.0780,0.9940+0.0250−0.0230,3.7130765±0.0000017,0.04389+0.00058−0.00055,962.2+8.0−7.9,transit,418.231+2.319−2.296,0.817+0.033−0.030,4766+52−54,[103]
207,TOI-1853 b,0.0406,0.325+0.020−0.016,1.243702+0.000121−0.000114,,1510.96,transit,539±3,0.8200±0.0992,5175±50,[71]
208,TOI-1859 b,,0.87±0.07,63.48347±0.00010,0.337+0.044−0.036,,transit,731.847+3.826−3.787,1.287±0.061,6341+68−70,[104]
209,TOI-1937A b,2.01+0.17−0.16,1.247+0.059−0.062,0.946679944±0.00000047,0.01932+0.00035−0.00039,2097+35−36,transit,1353.99+9.55−9.42,1.072+0.059−0.064,5814+91−93,[105]
210,TOI-2000 b,0.0347+0.0077−0.0075,0.241±0.014,3.098330+0.000021−0.000019,0.04271+0.00076−0.00067,1488+122−160,transit,30.3424±0.0685,1.082+0.059−0.050,5611+85−82,[106]
211,TOI-2000 c,0.0257+0.015−0.014,0.727+0.028−0.027,9.1270550+0.0000073−0.0000072,0.0878+0.0016−0.0014,1038+84−111,transit,30.3424±0.0685,1.082+0.059−0.050,5611+85−82,[106]
212,TOI-2010 b,1.286+0.055−0.057,1.054±0.027,141.834025+0.000065−0.000066,0.5516+0.0078−0.0093,400.2+5.6−5.7,transit,356.131+1.050−1.044,1.112+0.048−0.055,5929±74,[107]
213,TOI-2018 b,0.0185,0.204+0.009−0.007,7.435588±0.000009,,652.44,transit,,0.6600±0.0868,4348±100,[71]
214,TOI-2084 b,,0.220±0.012,6.0784247±0.0000096,0.05006±0.00103,527±8,transit,373.609+1.115−1.106,0.453+0.029−0.027,3551+49−52,[108]
215,TOI-2095 b,,0.116±0.009,17.664872+0.000045−0.000051,0.1010+0.0088−0.0084,347±9,transit,136.73±0.08,0.465±0.012,3662±130,[109][110]
216,TOI-2095 c,,0.124+0.010−0.009,28.17221+0.00011−0.00014,0.138+0.012−0.011,297±8,transit,136.73±0.08,0.465±0.012,3662±130,[109][110]
217,TOI-2096 b,0.0060+0.0044−0.0019,0.110±0.006,3.1190633+0.000010−0.0000093,0.025±0.001,445±13,transit,158.08±0.13,0.231±0.012,3300±50,[111]
218,TOI-2096 c,0.0145+0.0110−0.0057,0.171±0.008,6.387840±0.000012,0.040±0.002,349+10−9,transit,158.08±0.13,0.231±0.012,3300±50,[111]
219,TOI-2134 b,0.0287+0.0025−0.0024,0.240±0.014,9.2292005±0.0000063,0.0780±0.0009,666±8,transit,73.7773+0.0522−0.0519,0.744±0.027,4580±50,[71][112]
220,TOI-2134 c,0.1318+0.0242−0.0246,0.649±0.037,95.50+0.36−0.25,0.371±0.004,306±4,transit,73.7773+0.0522−0.0519,0.744±0.027,4580±50,[112]
221,TOI-2141 b,0.075±0.012,0.278±0.021,18.26157±0.00006,0.1330±0.0009,722±23,transit,253.365+0.736−0.732,0.94±0.02,5659±48,[102]
222,TOI-2145 b,,1.069+0.029−0.028,10.26075+0.00083−0.00082,0.1108+0.0012−0.0016,1484+16−14,transit,732.975+3.594−3.562,1.720+0.057−0.075,6177±67,[113]
223,TOI-2152A b,2.83+0.38−0.37,1.281+0.050−0.046,3.3773512+0.0000060−0.0000061,0.05064+0.00093−0.00110,1802+60−54,transit,988.275+10.143−9.945,1.516+0.085−0.100,6630+300−200,[114]
224,TOI-2154 b,0.920+0.190−0.180,1.453+0.053−0.048,3.8240801±0.0000025,0.0513+0.0011−0.0013,1580±27,transit,966.924+2.174−2.143,1.233+0.077−0.090,6280±160,[114]
225,TOI-2194 b,0.0145,0.178+0.012−0.006,15.337597+0.001585−0.001616,,590.88,transit,63.84±0.12,0.7400±0.0854,4756±50,[71]
226,TOI-2338 b,5.98+0.21−0.20,1.00±0.02,22.65398±0.00002,0.158±0.03,799+10−11,transit,1032±7,0.99+0.03−0.02,5581±60,[115]
227,TOI-2364 b,0.225+0.043−0.049,0.768+0.023−0.018,4.0197517±0.0000043,0.04871+0.00069−0.00079,1091+17−14,transit,716.286+5.594−5.509,0.954+0.041−0.046,5306+76−68,[105]
228,TOI-2443 b,0.0256,0.248±0.004,15.669494+0.000926−0.001004,,600.83,transit,,0.6600±0.0789,4357±100,[71]
229,TOI-2459 b,0.0285,0.264+0.008−0.006,19.104718+0.000023−0.000024,,445.01,transit,,0.6600±0.0763,4195±124,[71]
230,TOI-2497 b,4.82±0.41,0.9940+0.0550−0.0490,10.655669±0.000038,0.1166±0.0018,1595+45−42,transit,930.489+11.624−11.347,1.859+0.087−0.083,7360+320−300,[114]
231,TOI-2498 b,0.1089+0.0129−0.0129,0.541+0.026−0.024,3.738252±0.000004,0.0491±0.0030,1443+15−28,transit,897.796+13.712−13.314,1.12±0.02,5905±12,[116]
232,TOI-2525 b,0.088+0.005−0.004,0.774±0.010,23.288+0.001−0.002,0.1511±0.0025,500,transit,1305±8,0.849+0.024−0.033,5096±80,[117]
233,TOI-2525 c,0.709±0.034,0.904±0.010,49.260±0.001,0.2491+0.0041−0.0042,390,transit,1305±8,0.849+0.024−0.033,5096±80,[117]
234,TOI-2583A b,0.250+0.058−0.056,1.290+0.040−0.033,4.5207265±0.0000049,0.0571+0.0010−0.0013,1456+19−16,transit,1846.66+21.10−20.64,1.215+0.063−0.082,5936+65−68,[105]
235,TOI-2587A b,0.218+0.054−0.046,1.077+0.042−0.040,5.456640±0.000011,0.0635+0.0025−0.0013,1445+23−26,transit,1218.77+5.953−5.772,1.15+0.14−0.07,5760+80−79,[105]
236,TOI-2589 b,3.5±0.1,1.08±0.03,61.6277±0.0002,0.300+0.006−0.005,592+7−8,transit,658±3,0.93+0.03−0.02,5579±70,[115]
237,TOI-2641 b,0.367+0.049−0.040,1.615+0.462−0.640,4.880974+0.000023−0.000037,0.0607+0.0042−0.0043,1387+22−23,transit,1131±7,1.16±0.07,6100±100,Extremely grazing transit[79]
238,TOI-2796 b,0.44+0.10−0.11,>1.54,4.8084983+0.0000057−0.0000056,0.0569+0.0010−0.0011,1205+18−17,transit,1142.67+19.63−18.99,1.063+0.057−0.062,5764+81−78,[105]
239,TOI-2803A b,0.9750+0.0830−0.0700,1.616+0.034−0.032,1.96229325±0.00000082,0.03185±0.00052,1893+29−28,transit,1613.88+21.68−21.13,1.118+0.056−0.054,6280+99−96,[105]
240,TOI-2818 b,0.71±0.26,1.363+0.046−0.045,4.0397090+0.0000024−0.0000023,0.0493+0.0010−0.0008,1376+26−24,transit,1019.81+7.39−7.28,0.9770+0.0630−0.0490,5721+88−83,[105]
241,TOI-2842 b,0.370+0.052−0.047,1.146+0.051−0.048,3.5514058+0.0000077−0.0000078,0.0475+0.0010−0.0011,1471+29−27,transit,1503.57+25.18−24.37,1.135+0.077−0.079,5910±100,[105]
242,TOI-2977 b,1.68+0.26−0.25,1.174+0.031−0.027,2.3505614±0.0000025,0.03386+0.00067−0.00050,1544±26,transit,,0.936+0.057−0.041,5691+94−93,[105]
243,TOI-3023 b,0.62+0.10−0.09,1.466+0.043−0.032,3.9014971±0.0000031,0.0505+0.0015−0.0009,1596+24−25,transit,1271.74+10.42−10.26,1.12+0.11−0.06,5760+85−88,[105]
244,TOI-3082 b,0.0411,0.327±0.013,1.926907+0.000128−0.000134,,1032.78,transit,368.8±1.5,0.6640±0.0798,4263±100,[71]
245,TOI-3235 b,0.665±0.025,1.017±0.044,2.59261842±0.00000041,0.02709±0.00046,604±19,transit,236.7±0.5,0.394±0.003,3389±6,[118]
246,TOI-3364 b,1.67+0.12−0.13,1.091+0.038−0.032,5.8768918±0.0000069,0.0675+0.0011−0.0016,1264+22−21,transit,906.386+8.170−8.027,1.186+0.059−0.083,5706+95−91,[105]
247,TOI-3688A b,0.980+0.100−0.110,1.167+0.048−0.044,3.246075±0.000012,0.04560+0.00089−0.00098,1534+29−28,transit,1292.81+19.67−19.10,1.199+0.072−0.076,5950±100,[105]
248,TOI-3785 b,0.0470±0.0126,0.459±0.014,4.6747373±0.0000038,0.043±0.001,582±16,transit,259.0±0.3,0.52±0.02,3576±88,[119]
249,TOI-3807 b,1.04+0.15−0.14,>1.65,2.8989727+0.0000038−0.0000039,0.0421+0.0007−0.0011,1646+25−24,transit,1375.55+15.20−14.88,1.181+0.0064−0.0092,5772+84−80,[105]
250,TOI-3819 b,1.11+0.18−0.20,1.172+0.036−0.035,3.2443141±0.0000055,0.04611+0.00069−0.00096,1633+21−19,transit,1820.41+42.55−40.68,1.242+0.057−0.076,5859+72−71,[105]
251,TOI-3912 b,0.406+0.071−0.068,1.274+0.041−0.040,3.4936264±0.0000038,0.0463+0.0012−0.0010,1512±20,transit,1519.86+21.48−20.90,1.088+0.086−0.070,5725+69−68,[105]
252,TOI-3976A b,0.175+0.037−0.036,1.095+0.036−0.035,6.607662+0.000016−0.000015,0.0743+0.0013−0.0014,1295+16−14,transit,1683.25+19.30−18.88,1.254+0.067−0.072,5975+70−69,[105]
253,TOI-3984A b,0.14±0.03,0.71±0.02,4.35326±0.000005,0.041+0.002−0.001,563±15,transit,353.6+1.0−0.7,0.49±0.02,3476±88,[120]
254,TOI-4010 b,0.03461+0.00406−0.00400,0.269±0.007,1.348335+0.000003−0.000002,0.0229±0.0002,1441+14−13,transit,578.941+3.242−3.203,0.88±0.03,4960±36,[121]
255,TOI-4010 c,0.06390+0.00670−0.00664,0.529+0.010−0.011,5.414654±0.000007,0.058±0.001,907+9−8,transit,578.941+3.242−3.203,0.88±0.03,4960±36,[121]
256,TOI-4010 d,0.1200+0.0103−0.0101,0.551+0.012−0.013,14.70886±0.00003,0.113±0.001,650±6,transit,578.941+3.242−3.203,0.88±0.03,4960±36,[121]
257,TOI-4010 e,2.18+0.21−0.20,,>762±90,1.57+0.12−0.13,174+8−6,radial vel.,578.941+3.242−3.203,0.88±0.03,4960±36,[121]
258,TOI-4087 b,0.73±0.14,1.164+0.025−0.024,3.17748350±0.00000094,0.04469+0.00048−0.00054,1458+20−17,transit,983.937+7.257−7.153,1.178+0.039−0.042,6060+74−67,[105]
259,TOI-4127 b,2.30±0.11,1.096+0.039−0.032,56.39879±0.00010,0.3081+0.0055−0.0058,605.1+9.6−8.2,transit,1060±20,1.23±0.07,6096±115,Highly eccentric orbit[122]
260,TOI-4145A b,0.43±0.13,1.187+0.032−0.031,4.0664428±0.0000058,0.04823+0.00075−0.00079,1074+19−16,transit,669.884+3.904−3.862,0.905+0.043−0.044,5281+86−76,[105]
261,TOI-4184 b,,0.217±0.019,4.9019804±0.0000052,0.0336±0.0015,412±8,transit,226.238+1.058−1.049,0.2109+0.0290−0.0260,3238+48−49,[108]
262,TOI-4201 b,2.589±0.066,1.133±0.024,3.5819111±1.7e-06,0.03939±0.0004,745±14,transit,611.54+1.96−2.28,0.63±0.02,3920±50,[123][124]
263,TOI-4308 b,0.0203,0.216±0.023,9.151201+0.000036−0.000037,,763.05,transit,,0.9000±0.1133,5243±126,[71]
264,TOI-4342 b,0.16±0.16,0.202±0.003,5.5382498+0.0000057−0.0000058,0.05251±0.00011,633.6+6.2−6.3,transit,200.73,0.6296±0.0086,3901±69,[125]
265,TOI-4342 c,0.145±0.145,0.215±0.004,10.688716±0.000015,0.08140±0.00017,508.9±5.0,transit,200.73,0.6296±0.0086,3901±69,[125]
266,TOI-4377 b,0.9570+0.0890−0.0870,1.348±0.081,4.378081±0.000019,0.0579+0.0010−0.0011,1395+25−22,transit,1486.69+16.01−15.68,1.36+0.08−0.07,4974±57,[126]
267,TOI-4406 b,0.30±0.03,1.00±0.02,30.08364±0.00005,0.201±0.005,904+16−17,transit,861±7,1.19±0.03,6219±70,[115]
268,TOI-4551 b,1.49±0.13,1.058+0.110−0.062,9.955810+0.000076−0.000078,0.09940+0.00300−0.00320,,transit,704.453+8.033−7.857,1.31+0.07−0.18,4896±110,[126]
269,TOI-4463A b,0.794+0.039−0.040,1.183+0.064−0.045,2.8807198+0.0000028−0.0000027,0.04036+0.00074−0.00082,1395+25−22,transit,564.633+4.250−4.191,1.062+0.059−0.063,5640+89−82,[105]
270,TOI-4562 b,2.30+0.48−0.47,1.118+0.014−0.013,225.11781+0.00025−0.00022,0.768±0.005,318±4,transit,1107.64+8.25−8.12,1.192±0.057,6096±32,[127]
271,TOI-4582 b,0.53±0.05,0.940+0.090−0.120,31.034±0.001,,,transit,1251.94+11.83−11.62,1.34±0.06,5190±100,[128]
272,TOI-4600 b,~0.0976,0.607+0.026−0.028,82.6869±0.0003,0.349±0.021,347+12−11,transit,705.97±1.68,0.89±0.05,5170±120,[129]
273,TOI-4600 c,~0.1510,0.841±0.037,482.8191+0.0018−0.0017,1.152±0.068,191±6,transit,705.97±1.68,0.89±0.05,5170±120,"As of August 2023[update], longest-period confirmed planet discovered by TESS[129]"
274,TOI-4603 b,12.89+0.58−0.57,1.042+0.038−0.035,7.24599+0.00022−0.00021,0.0888±0.0010,1677±24,transit,731±3,1.765±0.061,6264+95−94,Metal enriched gas giant[130]
275,TOI-4791 b,2.31+0.32−0.33,1.110±0.050,4.280880+0.000022−0.000023,0.0555+0.0011−0.0012,1472+26−24,transit,1072.41+12.05−11.79,1.242+0.072−0.077,6058+99−94,[105]
276,TOI-4860 b,0.67±0.14,0.756±0.024,1.52275959+0.00000032−0.00000035,0.01845±0.00059,624±30,transit,261.390+2.114−2.081,0.3357±0.0081,3390±120,[131]
277,TOI-5126 b,,0.423+0.014−0.012,5.4588385+0.0000070−0.0000072,0.06519+0.00087−0.00082,1442+46−40,transit,523.201+5.264−5.160,1.240+0.050−0.046,6150+110−130,[132]
278,TOI-5126 c,,0.344+0.015−0.014,17.8999+0.0018−0.0013,0.1439+0.0019−0.0018,971.0+31.0−27.0,transit,523.201+5.264−5.160,1.240+0.050−0.046,6150+110−130,[132]
279,TOI-5205 b,1.08±0.06,1.03±0.03,1.630757±0.000001,0.0199±0.0002,,transit,281.960+1.363−1.350,0.394±0.011,3430±54,[133]
280,TOI-5293A b,0.54±0.07,1.06±0.04,2.930289±0.000004,0.034+0.004−0.003,675+42−30,transit,525±2,0.54±0.02,3586±88,[120]
281,TOI-5344 b,0.412±0.040,0.946±0.021,3.7926220±0.0000062,0.04041±0.00075,689±12,transit,451.293+4.357−4.276,0.612±0.034,3747±64,[134]
282,TOI-5398 c,0.0371+0.0151−0.0148,0.314±0.017,4.77271+0.00016−0.00014,0.057±0.003,1242±37,transit,426.792+2.237−2.211,1.146±0.013,6000±75,[135]
283,TOI-5678 b,0.063±0.013,0.438±0.007,47.73022+0.00014−0.00013,0.249±0.005,513+8−7,transit,539.441+2.293−2.277,0.905+0.039−0.041,5485±63,[136]
284,TOI-5704 b,,2.8793+0.01671−0.01247,3.7711160+0.0000115−0.0000107,,949.07,transit,292.357+0.881−0.876,0.7575±0.0593,4590±126,[71]
285,TOI-5803 b,0.0339,0.292±0.011,5.383050+0.000207−0.000200,,678.87,transit,,0.8700±0.1032,5134±121,[71]
286,WASP-84 c,0.048+0.014−0.013,0.174±0.011,1.4468849+0.0000022−0.0000016,0.02359±0.00100,1329+31−30,transit,328.075+1.595−1.579,0.853±0.038,,[137]
287,WASP-193 b,0.139±0.029,1.464+0.059−0.057,6.2463345±0.0000003,0.0676±0.0015,1254±31,transit,1180.97+17.56−17.06,1.059+0.067−0.068,6078±120,[138]
288,WISE J033605.05-014350.4 b,8.25±4.25,,2560±730,0.970±0.050,325+15−10,imaging,,0.01310±0.00597,415±20,[139]
289,Wolf 1069 b,0.003963425±0.0006605,,15.564±0.015,0.0672±0.0014,250.0±6.6,radial vel.,31.228,0.167±0.011,3158±54,Habitable zone planet[140][141]
